日期,颱風編號,颱風生成時間,颱風消散時間,海上警報,陸上警報,近臺強度,侵臺路徑分類
2020/10/9,202014,2020/10/5 00:00,2020/10/11 18:00,0,0,無資料,無資料
2020/10/8,202014,2020/10/5 00:00,2020/10/11 18:00,0,0,無資料,無資料
2020/10/7,202014,2020/10/5 00:00,2020/10/11 18:00,0,0,無資料,無資料
2020/10/6,202014,2020/10/5 00:00,2020/10/11 18:00,0,0,無資料,無資料
2020/10/5,202014,2020/10/5 00:00,2020/10/11 18:00,0,0,無資料,無資料
2020/10/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/30,202013,2020/9/27 00:00,2020/9/30 06:00,0,0,無資料,無資料
2020/9/29,202013,2020/9/27 00:00,2020/9/30 06:00,0,0,無資料,無資料
2020/9/28,202013,2020/9/27 00:00,2020/9/30 06:00,0,0,無資料,無資料
2020/9/27,202013,2020/9/27 00:00,2020/9/30 06:00,0,0,無資料,無資料
2020/9/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/24,202012,2020/9/21 06:00,2020/9/24 06:00,0,0,無資料,無資料
2020/9/23,202012,2020/9/21 06:00,2020/9/24 06:00,0,0,無資料,無資料
2020/9/22,202012,2020/9/21 06:00,2020/9/24 06:00,0,0,無資料,無資料
2020/9/21,202012,2020/9/21 06:00,2020/9/24 06:00,0,0,無資料,無資料
2020/9/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/19,202011,2020/9/15 18:00,2020/9/19 00:00,0,0,無資料,無資料
2020/9/18,202011,2020/9/15 18:00,2020/9/19 00:00,0,0,無資料,無資料
2020/9/17,202011,2020/9/15 18:00,2020/9/19 00:00,0,0,無資料,無資料
2020/9/16,202011,2020/9/15 18:00,2020/9/19 00:00,0,0,無資料,無資料
2020/9/15,202011,2020/9/15 18:00,2020/9/19 00:00,0,0,無資料,無資料
2020/9/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/9/7,202010,2020/9/1 12:00,2020/9/7 18:00,0,0,無資料,無資料
2020/9/6,202010,2020/9/1 12:00,2020/9/7 18:00,0,0,無資料,無資料
2020/9/5,202010,2020/9/1 12:00,2020/9/7 18:00,0,0,無資料,無資料
2020/9/4,202010,2020/9/1 12:00,2020/9/7 18:00,0,0,無資料,無資料
2020/9/3,202010,2020/9/1 12:00,2020/9/7 18:00,0,0,無資料,無資料
2020/9/2,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/9/1,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/8/31,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/8/30,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/8/29,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/8/28,202009,2020/8/28 06:00,2020/9/3 06:00,0,0,無資料,無資料
2020/8/27,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/26,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/25,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/24,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/23,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/22,202008,2020/8/22 00:00,2020/8/27 12:00,1,0,輕度,無資料
2020/8/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/19,202007,2020/8/18 00:00,2020/8/19 18:00,0,0,無資料,無資料
2020/8/18,202007,2020/8/18 00:00,2020/8/19 18:00,0,0,無資料,無資料
2020/8/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/11,202006,2020/8/10 00:00,2020/8/11 12:00,1,1,輕度,無資料
2020/8/10,202005,2020/8/8 18:00,2020/8/11 00:00,0,0,無資料,無資料
2020/8/9,202005,2020/8/8 18:00,2020/8/11 00:00,0,0,無資料,無資料
2020/8/8,202005,2020/8/8 18:00,2020/8/11 00:00,0,0,無資料,無資料
2020/8/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/8/6,202004,2020/8/1 12:00,2020/8/6 00:00,1,0,中度,無資料
2020/8/5,202004,2020/8/1 12:00,2020/8/6 00:00,1,0,中度,無資料
2020/8/4,202004,2020/8/1 12:00,2020/8/6 00:00,1,0,中度,無資料
2020/8/3,202004,2020/8/1 12:00,2020/8/6 00:00,1,0,中度,無資料
2020/8/2,202004,2020/8/1 12:00,2020/8/6 00:00,1,0,中度,無資料
2020/8/1,202003,2020/8/1 06:00,2020/8/2 12:00,0,0,無資料,無資料
2020/7/31,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/7/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/14,202002,2020/6/12 12:00,2020/6/14 06:00,0,0,無資料,無資料
2020/6/13,202002,2020/6/12 12:00,2020/6/14 06:00,0,0,無資料,無資料
2020/6/12,202002,2020/6/12 12:00,2020/6/14 06:00,0,0,無資料,無資料
2020/6/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/6/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/31,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/17,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/16,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/15,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/14,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/13,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/12,202001,2020/5/12 12:00,2020/5/17 12:00,1,0,中度,無資料
2020/5/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/5/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/4/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/31,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/3/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/2/17,無資料,無資料,無資料,0,0,無資料,無資料
